date,date_str,annee,mois,zone,cote,swh_mean,swh_min,swh_max_value,swh_std,swh_max_absolu,n_points,etat_mer_satellite,score_risque_vague
2017-06-02,2017-06,2017,6,CAP D'AMBRE A BESALAMPY,NORD-OUEST,3.3230699894622897e+36,0.5884720442773117,9.969209968386869e+36,4.699530647812588e+36,9.969209968386869e+36,30,Tres forte,10.0
2017-06-02,2017-06,2017,6,BESALAMPY A MOROMBE,OUEST,4.43075998594972e+36,0.9179163970105357,9.969209968386869e+36,4.953740260284793e+36,9.969209968386869e+36,18,Tres forte,10.0
2017-06-02,2017-06,2017,6,MOROMBE AU CAP SAINTE MARIE,SUD-OUEST,5.316911983139664e+36,1.0370796889262381,9.969209968386869e+36,4.973515749135352e+36,9.969209968386869e+36,15,Tres forte,10.0
2017-06-02,2017-06,2017,6,CAP D'AMBRE A ANTALAHA,NORD-EST,2.4923024920967173e+36,0.7451851362734878,9.969209968386869e+36,4.3167945441420447e+36,9.969209968386869e+36,12,Tres forte,10.0
2017-06-02,2017-06,2017,6,ANTALAHA A TOAMASINA,EST,1.2461512460483586e+36,1.0291446117148035,9.969209968386869e+36,3.297006293017218e+36,9.969209968386869e+36,8,Tres forte,10.0
2017-06-02,2017-06,2017,6,TOAMASINA A MANANJARY,EST,4.9846049841934345e+36,2.050571210204854,9.969209968386869e+36,4.9846049841934345e+36,9.969209968386869e+36,12,Tres forte,10.0
2017-06-02,2017-06,2017,6,MANANJARY A TAOLAGNARO,SUD-EST,4.153837486827862e+36,1.6515250204974143,9.969209968386869e+36,4.9148867956207265e+36,9.969209968386869e+36,12,Tres forte,10.0
2017-06-02,2017-06,2017,6,NOSY BE ET ENVIRONS,NORD-OUEST,0.8965875715529514,0.7451851362734878,1.0619721656412784,0.13541297335765304,1.5897500700962772,4,Peu agitee,1.8
2017-07-02,2017-07,2017,7,CAP D'AMBRE A TOAMASINA,EST,1.2461512460483586e+36,1.0626324919205608,9.969209968386869e+36,3.297006293017218e+36,9.969209968386869e+36,16,Tres forte,10.0
2017-07-02,2017-07,2017,7,CAP D'AMBRE A MAHANORO,EST,2.9538399906331465e+36,0.49473168366910497,9.969209968386869e+36,4.55217315019718e+36,9.969209968386869e+36,27,Tres forte,10.0
2017-07-02,2017-07,2017,7,MAHANORO AU CAP SAINTE MARIE,SUD-EST,3.9876839873547476e+36,2.1300611621425856,9.969209968386869e+36,4.8838955122430895e+36,9.969209968386869e+36,30,Tres forte,10.0
2017-07-02,2017-07,2017,7,TOAMASINA AU CAP SAINTE MARIE,EST-SUD,4.9846049841934345e+36,2.0795094487505734,9.969209968386869e+36,4.9846049841934345e+36,9.969209968386869e+36,40,Tres forte,10.0
2017-07-02,2017-07,2017,7,CAP D'AMBRE A BESALAMPY,NORD-OUEST,2.990762990516061e+36,0.49473168366910497,9.969209968386869e+36,4.5684659299041145e+36,9.969209968386869e+36,30,Tres forte,10.0
2017-07-02,2017-07,2017,7,BESALAMPY A MOROMBE,OUEST,4.43075998594972e+36,0.8033042294828087,9.969209968386869e+36,4.953740260284793e+36,9.969209968386869e+36,18,Tres forte,10.0
2017-07-02,2017-07,2017,7,MOROMBE AU CAP SAINTE MARIE,SUD-OUEST,5.316911983139664e+36,1.1796331847408792,9.969209968386869e+36,4.973515749135352e+36,9.969209968386869e+36,15,Tres forte,10.0
2017-07-02,2017-07,2017,7,CAP D'AMBRE A ANTALAHA,NORD-EST,2.4923024920967173e+36,0.49473168366910497,9.969209968386869e+36,4.3167945441420447e+36,9.969209968386869e+36,12,Tres forte,10.0
2017-07-02,2017-07,2017,7,ANTALAHA A TOAMASINA,EST,1.9599767959977918,1.0626324919205608,2.279443341431478,0.43300129600642323,2.906926114734934,8,Agitee,3.9
2017-07-02,2017-07,2017,7,TOAMASINA A MANANJARY,EST,4.9846049841934345e+36,2.0795094487505734,9.969209968386869e+36,4.9846049841934345e+36,9.969209968386869e+36,12,Tres forte,10.0
2017-07-02,2017-07,2017,7,MANANJARY A TAOLAGNARO,SUD-EST,4.153837486827862e+36,2.1300611621425856,9.969209968386869e+36,4.9148867956207265e+36,9.969209968386869e+36,12,Tres forte,10.0
2017-07-02,2017-07,2017,7,NOSY BE ET ENVIRONS,NORD-OUEST,0.7542268978257733,0.49473168366910497,1.000449645096313,0.18715833741544574,1.4131586592962635,4,Peu agitee,1.5
