Date debut,Date fin,Thématique,Objets,District,Commune,Localite,Region,Types,Longitude,Latitude,Personne concerne,Mort,Colonne1,description,Commentaire,Date_debut_dt
05/10/2019,05/10/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
06/10/2019,06/10/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
07/10/2019,07/10/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
08/10/2019,08/10/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
09/10/2019,09/10/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
10/10/2019,,Incident maritime,Enfant boyé par l'hélice d'un vedette,MAHAJANGA,,,,,46.313736111111105,-15.711575,,,,"Durant cette période de vacance, la plage de Mahajanga est remplie d’autochtones et vacanciers. Pendant ce moment de détente, différents activités ont lieu, comme monter à bord d’un navire pour donner une épice à leur vacance. Et pour ce cas, le jour du 08 Octobre 2019, pendant qu’une famille fait un tour de promenade à bord d’une vedette, au large de la petite plage de Mahajanga, un garçon d’environ de 13 ans fut tombé et a été broyé par les hélices de ladite vedette. Malgré les soins de secours effectués et l’EVASAN vers l’hôpital d’Androva, l’enfant meurt en cours de route.",,2019-10-10
11/10/2019,11/10/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
12/10/2019,12/10/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
13/10/2019,13/10/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
14/10/2019,14/10/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
15/10/2019,15/10/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
16/10/2019,16/10/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
17/10/2019,,Incident maritime,Echouage du navire MS ISABELLA,ANALALAVA,,,,,47.76835555555555,-14.668727777777777,,,,"Compte tenu de l’information transmise par les éléments du Poste Fixe de Ratsianarana (District Antalaha) de la Gendarmerie Nationale, le navire MS ISABELLA s’est échoué sur un récif le matin du 17 octobre 2019 vers 06h00 C à environ 1,5 km au large de Tanjokalanana, Fokontany Andranonampaha CR Ampanavoana district d’Antalaha.
Appartenant à sieur BE GERARD habitant le Fokontany Ankoalabe Antalaha, le navire a quitté le port d’Antalaha avec 10 membres d’équipage le 16 octobre 2019 vers 06h00 du matin à destination de Toamasina, ayant à son bord 15 passagers et 1000 cageots contenant des bouteilles vides. Ledit navire s’est trouvé à la dérive suite à une panne moteur et s’est échoué.  Tous les passagers sont déjà évacués du navire par l’équipage à Andranonampaha puis vers Antalaha sains et saufs. La réparation du moteur du navire est terminée le 19 octobre 2019. Le déséchouement dépendra de la hauteur de la marée. L’APMF Antalaha va envoyer un remorqueur pour secourir le navire.",,2019-10-17
18/10/2019,18/10/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
19/10/2019,19/10/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
