Date debut,Date fin,Thématique,Objets,District,Commune,Localite,Region,Types,Longitude,Latitude,Personne concerne,Mort,Colonne1,description,Commentaire,Date_debut_dt
14/10/2020,14/10/2020,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
15/10/2020,15/10/2020,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
16/10/2020,16/10/2020,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
17/10/2020,17/10/2020,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
18/10/2020,18/10/2020,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
19/10/2020,19/10/2020,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
20/10/2020,20/10/2020,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
21/10/2020,21/10/2020,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
22/10/2020,22/10/2020,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
23/10/2020,23/10/2020,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
24/10/2020,24/10/2020,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
25/10/2020,25/10/2020,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
26/10/2020,,Incident maritime,23 octobre 2020:Naufrage vedette rapide,MAROANTSETRA,,Anjahana,,,49.8608,-15.4163,,,,"Le 23 octobre 2020 vers 7 heures du matin, à la sortie de l’embouchure de Maroantsetra, une vedette en fibre en provenance de Maroantsetra à destination du fokontany Navana de la CR Anjahana dans le district de Maroantsetra a sombré à cause du mauvais temps.  Après avoir été avisées à temps par TPH vers 07h 15 par le PCA Tourisme Maroantsetra du naufrage de cette vedette, les équipes de la Gendarmerie Nationale et la Police Nationale se sont dépêchées pour secourir les occupants. Les douze (12) passagers et deux (02) membres d’équipage à bord ont été sauvés. D’autres embarcations ont prêté main forte lors de cette opération de sauvetage. La vedette a pu être récupérée et remorquée vers le port de Maroantsetra le jour même de l’incident. L’APMF de cette localité a pris en charge cette affaire. Les autorités locales ont procédé à la sensibilisation des usagers de la mer sur l’interdiction de naviguer en cas de mauvais temps pour éviter les éventuels accidents.","Depuis un certain temps, malgré les efforts déployés quant à la sensibilisation sur l’interdiction de naviguer en cas de mauvais temps, certains récalcitrants refusent de se conformer aux avis communiqués par les autorités portuaires ainsi que les autorités administratives locales.  Etant donné que le coût d’un déploiement pour les opérations SAR est relativement élevé, les équipages méritent des sanctions sévères à titre de correction. Néanmoins, des campagnes de sensibilisation devraient être priorisées avec d’autres entités liées aux activités en mer, avec le renforcement des contrôles systématiques à chaque embarquement pour vérifier le port des gilets de sauvetage ainsi que la conformité aux procédures du chargement.  ",2020-10-26
27/10/2020,,Incident maritime,23 Octobre 2020:EVASAN 3 equipages:navire cargo NEW COURAGE:Un mort,TAOLAGNARO,,,,,47.021833,-25.021667,,,,"Le 23 Octobre 2020 un navire cargo NEW COURAGE a demandé une assistance médicale au CROSS réunion à cause d’un problème médical concernant 03 membres d’équipages dont le second capitaine du navire, à la position 25°01.30'S - 047°01.31'E, à environ 1,25 nautiques (2.32km) au Nord-Est de Taolagnaro. Etant donné que le navire était situé en SRR Madagascar, le CROSS a donné la coordination au JRCC Madagascar, lequel a saisi le CRCO de Fort Dauphin qui a pris en charge la gestion de cette assistance. A cet effet, le CRCO a décidé de ne pas débarquer les malades car le navire était passé par des pays fortement frappés par la maladie d’Ebola. Par contre des médecins ont été envoyés à bord de ce navire pour soigner ces patients. Pendant toute la nuit, l’état de santé de l’un d’entre eux s’est aggravé et a nécessité une évacuation sanitaire d’urgence. Un avion en provenance de Nairobi-Kenya a été prévu le récupérer mais a été annulé à cause d’indisponibilité de l’avion. L’armateur a ensuite décidé d’évacuer les patients à la Réunion, mais pendant cette navigation, l’un des patients a perdu la vie. ","Dans la conjoncture actuelle, notamment la crise sanitaire, l’évacuation sanitaire en mer dépend fortement des multiples conditions. Les opérations EVASAN maritime reste une affaire délicate.  Cette situation a été critique, la prise en charge des grosses urgences médicales par voie aérienne est la meilleure solution, mais faute de moyen, l’armateur n’a pas pu l’effectuer. Madagascar ne dispose pas encore de moyens suffisants pour les opérations SAR malgré l’importance du trafic maritime dans les eaux sous nôtres juridictions. ",2020-10-27
28/10/2020,28/10/2020,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
29/10/2020,29/10/2020,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
30/10/2020,30/10/2020,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
31/10/2020,31/10/2020,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
01/11/2020,01/11/2020,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
02/11/2020,,Incident maritime,Panne moteur MS STEPHAN:Pav MADAGASCAR,ANTALAHA,,17 km NE Vinanivao,,,50.62392,-16.04328,,,,"Le 09 Février 2020 vers 17h, suite à une panne moteur, le boutre MS STEPHAN, en provenance d’Antalaha, est échoué au Nord-Est, à 9 nautiques (17.35 km) de VINANIVAO. En transit dans cette zone, le navire MV SERAYA, pavillon Tanzanie, MMSI : 677084800 a remorqué ce boutre jusqu’à Sainte Marie. Les quinze (15) passagers du MS STEPHAN sont désormais sains et saufs. Le 12 février 2020, ces deux (2) navires sont au mouillage au large d’Ambatoraho-Sainte Marie.","En principe, en cas de difficulté en mer occasionnant le dysfonctionnement du moteur d’un navire, il existe des navires spéciaux, chargés du remorquage. Toutefois, certains bateaux peuvent effectuer un remorquage sous réserve des techniques exigées par les normes en matière de sauvetage. Pour le cas de Madagascar, malgré les coûts du remorquage plus ou moins élevés ou autres paramètres indéfinis comme le cas de ces embarcations en question, certains ne veulent pas accoster le port officiellement connu par l’administration portuaire pour motif inconnu.",2020-11-02
03/11/2020,03/11/2020,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
04/11/2020,04/11/2020,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
05/11/2020,05/11/2020,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
06/11/2020,06/11/2020,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
07/11/2020,07/11/2020,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
08/11/2020,08/11/2020,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
09/11/2020,09/11/2020,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
10/11/2020,10/11/2020,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
11/11/2020,11/11/2020,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
12/11/2020,12/11/2020,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
13/11/2020,13/11/2020,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
14/11/2020,14/11/2020,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
15/11/2020,15/11/2020,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
16/11/2020,16/11/2020,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
17/11/2020,,Incident maritime,16 Novembre 2020:EVASAN à bord voilier INTREPID,NOSY BE,,Hell Ville,,,48.281163,-13.40765,,,,"Contacté par le CROSS Réunion le 16 novembre 2020, le JRCC Madagascar a coordonné l’évacuation sanitaire d’une américaine de 50 ans, souffrant de mal de mer et d’anxiété à bord du voilier INTREPID, pavillon Etats-Unis d’Amérique et MMSI 367685220, en provenance des Seychelles et à destination du port de Richard Bay en Afrique du Sud. Le débarquement de la patiente a eu lieu au port de Nosy Be le 17 novembre 2020 vers 14H40Mn heures locales. Le voilier a mouillé devant le Centre National de Recherches Océanographiques (CNRO) le même jour vers 16H20Mn heures locales.","En cette période, l’APMF entrevoie d’améliorer l’opérationnalité de l’action de l’Etat en mer en ce qui concerne la recherche et sauvetage, et une meilleure coordination des opérations SAR dans la zone SRR de Madagascar par l’opérationnalisation d’un MRCC. Cela permettra d’optimiser la sûreté et la sécurité maritime dans les eaux sous juridictions de Madagascar.",2020-11-17
18/11/2020,18/11/2020,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
19/11/2020,19/11/2020,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
20/11/2020,20/11/2020,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
21/11/2020,21/11/2020,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
22/11/2020,22/11/2020,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
23/11/2020,23/11/2020,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
24/11/2020,24/11/2020,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
25/11/2020,25/11/2020,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
26/11/2020,26/11/2020,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
27/11/2020,27/11/2020,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
28/11/2020,28/11/2020,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
29/11/2020,29/11/2020,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
30/11/2020,30/11/2020,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
01/12/2020,01/12/2020,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
02/12/2020,02/12/2020,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
03/12/2020,03/12/2020,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
04/12/2020,04/12/2020,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
05/12/2020,05/12/2020,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
06/12/2020,,Incident maritime,01er juin 2020:Disparition 5 pêcheurs:coque à moteur en fibre BALEINE V,NOSY BE,,large Nosy Mitsio,,,48.57972,-12.56261,,,,"Parti du port de Nosy Be le 28 Mai 2020, le navire de pêche BALEINE V avec cinq (05) équipages à bord reste introuvable jusqu’à ce jour. D’habitude, ce navire effectue régulièrement trois (03) jours de pêche en haute mer au large de Nosy Mitsio et revient au port à l’issue. Vue que les huit (08) autres navires qui sont partis avec ce navire disparu à la même date sont déjà revenus au port, les familles de ces cinq membres d’équipage sont inquiètes et ont avisé les autorités locales. L’Agence Portuaire Maritime et Fluviale (APMF) a entamé les recherches.","La disparition du navire BALEINE V a été annoncé le 11 juin 2020, soit 10 jours après l’incident. Equipé d’un moteur hors-bord de 15CV, la coque aurait eu une panne moteur en haute mer. Ce qui pourrait entrainer une dérive vers les côtes comoriennes ou mahoraises, emportée par le courant marin. Les dispositifs recommandés pour la préservation des vies humaines en mer ne sont pas encore utilisés à Madagascar. Les heures de départ et d’arrivée probable ainsi que les directions prévues pour les activités devraient être toujours enregistrées auprès des Autorités portuaires (APMF, CSP) afin de permettre une intervention à temps, en cas de détresse. De plus, les embarcations avec les personnels à bord devraient toujours être équipés d’EPI et des appareils de communications, vérifiés par les Autorités portuaires avant leur départ.",2020-12-06
07/12/2020,07/12/2020,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
08/12/2020,08/12/2020,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
09/12/2020,,Incident maritime,07 Septembre 2020:Dérive du GPL GRA JA:Pav Gabon:Panne pompe d'huile,MADAGASCAR,,Sud de Lavanono,,,46.204444,-28.005556,,,,"Le 06 septembre 2020 vers 18H21 heures locales, le navire pétrolier (GLP) GRA JA de pavillon Gabon, MMSI : 626088000, est entré dans la ZEE de Madagascar, dans la partie Sud des côtes malagasy, en provenance du port de Rio de Janeiro (Brésil). Le 07 septembre 2020 vers 11H50 heures locales, le navire a été en dérive avec une vitesse de 1,9 nœud, à environ 172 nautiques (319 km) au Sud d’Ambovombe, à cause d’un problème avec la pompe de circulation d’huile du moteur principal mais n’a pas demandé assistance. Le 08 septembre 2020, le CFIM a contacté l’armateur du navire via mail sur la situation du navire et l’intention de son capitaine mais n’a pas obtenu de réponse. Le 12 septembre 2020, vers une heure de matin, heures locales, il a quitté la ZEE Madagascar, avec une vitesse de 10,3 nœuds.","Le CFIM assure une veille du trafic maritime de façon permanente dans la ZEE de Madagascar. Tous les évènements provenant de navire doté du système AIS qui se produisent dans cette zone sont détectées par le centre, tels que des activités douteuses ou inhabituelles ou les difficultés des navires. Pour éviter et prévenir les éventuels dangers dans les ZEE, le CFIM s’assure de transmettre en temps opportun toutes les informations nécessaires aux autorités locales concernées ou autorités maritimes dans la région Océan Indien.",2020-12-09
10/12/2020,10/12/2020,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
11/12/2020,11/12/2020,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
12/12/2020,12/12/2020,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
13/12/2020,13/12/2020,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
14/12/2020,14/12/2020,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
15/12/2020,,Incident maritime,09 Décembre 2020:Naufrage Pirogue traditionnelle,MANAKARA,,Mananjary,,,48.34839,-21.268669,,,,"Le 09 Décembre 2020 à Mananjary, la pirogue traditionnelle d’un pêcheur dénommé Jasmin a fait naufrage. Le pêcheur a été porté disparu pendant 4 jours mais a pu être secouru, à Manakara, le dimanche 13 décembre 2020.","Sur la côte Est, les pêcheurs à bord des pirogues traditionnelles sont très vulnérables aux fortes houles en mer. Lors de l’incident, le vent était d’est à nord-est allant de 05 à 15 nœuds. L’état de la mer était agité à fort, avec des pluies. Les déplacements en mer en binôme au moins sont à recommander pour les usagers de la mer. Ils devront aussi être équipés de kits de sécurité appropriés ",2020-12-15
16/12/2020,16/12/2020,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
17/12/2020,17/12/2020,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
18/12/2020,18/12/2020,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
19/12/2020,19/12/2020,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
20/12/2020,20/12/2020,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
21/12/2020,21/12/2020,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
22/12/2020,,Incident maritime,21 Décembre 2020:Naufrage d'une boutre à voile,AMBANJA,,Ankifigny,,,48.340156,-13.54688,,,,"Le 21 décembre 2020 vers 14H00 heures locales au large de Doanin’Ankifigny à Ambanja, un boutre à voile transportant une fratrie de sept (7) personnes à bord, et transportant des marchandises destinées au marché de Nosy Be comme les charbons de bois et des produits de roseau, a fait naufrage suite à un vent fort accompagné de forte pluie. L’embarcation a quitté Antetezambato (Nosy faly District Ambanja) le même jour vers 03H00 heures locales du matin avec une mer et vent calme. Vers 13H00C, à l’approche de Nosy Be, les conditions météorologiques deviennent défavorables aux petites embarcations entrainant le cassage des balanciers et le naufrage du boutre. Les habitants du village d'Ankifigny ont aperçu l’accident en mer du littoral et ont prêté mains fortes avec des pirogues et des vedettes rapides. Les sept personnes à bord sont saines et sauves si 55% des marchandises ont pu être récupérées.","Les conditions météorologiques comme les vents forts et fortes houles sont parmi les facteurs principaux d’accidents des navires en mer. De plus, les pirogues traditionnelles et les boutres à voile sont les plus vulnérables aux aléas naturels. De plus, le mécanisme de déclenchement des SAR par les embarcations concernées fait toujours défaut.",2020-12-22
22/12/2020,,Incident maritime,21 Décembre 2020:Homme à la mer:Vraquier EGRET OASIS:Pav Hong Kong,TAOLAGNARO,,,,,48.220974,-25.818527,,,,"Le 21 décembre 2020 vers 10H48 heures locales, MRCC Réunion a reçu, par le biais de JRCC Stavanger (Norvège), une alerte de détresse signalant un marin de 31 ans tombé du navire vraquier EGRET OASIS, battant pavillon Hong-Kong, OMI 9592006, MMSI 477224700, à la position 25°50.00'S et 048°14.00'E (124 nautiques au Sud-est de Taolagnaro, ZEE Madagascar). L’opération de recherche en mer est coordonnée par JRCC Madagascar avec le soutien de MRCC Réunion.",Les normes de sécurité et de sureté maritime devraient être appliquées strictement et respectées vigoureusement par les usagers de la mer afin de limiter les accidents en mer. Les rappels réguliers devraient se tenir au niveau de chaque embarcation.,2020-12-22
23/12/2020,23/12/2020,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
24/12/2020,,Incident maritime,23 Décembre 2020:Découverte cadavre,TOAMASINA,,,,,49.419225,-18.13821,,,,"Le 23 Décembre 2020 vers 17h, un cadavre a été découvert par les pêcheurs au bord de la mer à l’Est de la cité Vohitsara Toamasina. Après le constat effectué par la Police Judiciaire, la Police Scientifique et Technique, et la BMH locale, il s’agit d’un corps d’un homme de 34 ans, mort par noyade, et qui a été disparue depuis le 20 Décembre 2020.","Les vacanciers sur la côte Est de Madagascar doivent être vigilants surtout entre ce mois de décembre jusqu’au février (saison cyclonique). De son côté, les autorités locales doivent sensibiliser leur population afin d’éviter les incidents maritimes (noyade, naufrage des navires, etc.).   ",2020-12-24
25/12/2020,25/12/2020,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
26/12/2020,26/12/2020,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
27/12/2020,27/12/2020,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
28/12/2020,28/12/2020,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
29/12/2020,29/12/2020,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
30/12/2020,,Incident maritime,29 Décembre 2020:Cadavre d'un dauphin,NOSY BE,,Ambondrona ,,,48.1872,-13.3748,,,,"Le 29 décembre 2020 vers 18 heures, le cadavre d’un dauphin a été trouvé sur la plage d'Ambondrona à Nosy Be par la population locale. La cause officielle de cet échouage n'est pas encore identifiée.","Malgré leur rôle important pour l’équilibre écologique de la vie marine, les dauphins sont parmi les espèces en danger. En ce sens, L'Union internationale pour la conservation de la nature (UICN) en charge de ce genre de mammifère marin est très sensible sur ce cas. Pour la solidarité avec la communauté internationale, les responsables Malagasy ont le devoir d’activer la recherche de cause de cet échouement.",2020-12-30
31/12/2020,,Incident maritime,25 Décembre 2020:Homme à la mer:Boutre à voile,ANTSOHIHY,,Antafiambotry,,,48.467,-13.3733,,,,"Le 25 décembre 2020, un homme de 25 ans domicilié dans le fokontany d’Anjianjia Commune Urbaine d’Antonibe, district d’Analalava avec six passagers ont été à bord d’un boutre, en transit d’Antsohihy vers Anjiajia. Au cours de ce trajet cet homme a dormi et en pleine mer, au large des côtes d’Antafiambotry, Commune Urbaine d’Antsohihy, vers 4 heures du matin, cet homme s’est jeté inconsciemment et spontanément dans la mer. D’après les six passagers avec lui y comprise son épouse, lors de cette tragédie, la cause exacte de cet incident n’a pas été déterminée. Le corps de la victime a été trouvé le samedi 26 décembre 2020 par l’APMF d’Antsohihy sur le lieu de l’accident. La Compagnie de la gendarmerie d’Antsohihy était saisie de cette affaire.","Pendant la saison cyclonique, la conformité aux informations annoncées joue un rôle important, surtout pour la population côtière. Par contre, certains commandants de navire et les passagers ne sont pas au courant de l’avis d’interdiction de naviguer lancé par le service Météo. Or, le lieu de l’accident qui s'est produit récemment est inclus dans le trajet du cyclone Chalane.",2020-12-31
01/01/2021,01/01/2021,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
02/01/2021,02/01/2021,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
03/01/2021,03/01/2021,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
04/01/2021,04/01/2021,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
05/01/2021,05/01/2021,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
06/01/2021,,Incidents maritimes ,31 Mai 2021:Dérive boutre ROYAL STAR:à voile et à  moteur:Panne moteur,NOSY BE,,Banc de Castor,,,48.47631,-12.84829,,,,"Le 31 mai 2021 à 10 heures, un boutre traditionnel en bois, motorisé, mesurant 7 mètres de long sur 3 mètres de large, a été localisé au large de Domoni, Anjouan par le détachement de la Garde Côte. Arrivés sur les lieux, les éléments de l'Unité Spécialisée de la Police Maritime (USP MAR) ont trouvé 4 personnes à bord. Emmenées au commissariat central de Mutsamudu pour enquête, les membres d’équipage du boutre, tous venant de la ville de Nosy Be, ont expliqué que, lorsqu’ils étaient partis à la pêche dans les eaux de Nosy Be, le boutre est tombé en panne moteur et a coulé ; En raison du courant fort, ils ont été entrainés jusqu’à ce lieu au large d’Anjouan après 12 jours en mer. Ils ne pouvaient appeler du secours car n’avaient aucun moyen de communication à bord. Ils sont retenus au service d'immigration de Mutsamudu pour enquête. Des informations des pêcheurs de Nosy Be ont été recueillies, selon lesquelles le boutre dénommé ""ROYAL STAR"" appartient à un habitant de Nosy Be. Des informations reçues ce 02 juin 2021 de la famille des rescapés, le navire, nouvellement construit par l’un d’eux, est dépourvu de papiers réglementaires relatifs à la navigation, sans nom ni numéro d'immatriculation et non équipé de GPS. Les pêcheurs ont quitté Nosy Be le 19 mai 2021 pour aller pêcher au large du banc de Castor, à environ 8 nautiques (15 km) à l’ouest de Nosy Mitsio, au Nord de Nosy Be.",,2021-01-06
07/01/2021,07/01/2021,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
08/01/2021,08/01/2021,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
09/01/2021,09/01/2021,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
10/01/2021,10/01/2021,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
11/01/2021,11/01/2021,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
12/01/2021,12/01/2021,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
13/01/2021,13/01/2021,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
14/01/2021,14/01/2021,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
15/01/2021,15/01/2021,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
16/01/2021,16/01/2021,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
17/01/2021,17/01/2021,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
18/01/2021,18/01/2021,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
19/01/2021,19/01/2021,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
20/01/2021,20/01/2021,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
21/01/2021,21/01/2021,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
22/01/2021,22/01/2021,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
23/01/2021,,Incidents Maritimes,20 Janvier 2021:Découverte cadavre,ANTSIRANANA,,Port Saline,,,49.238388,-12.30009,,,,"A la suite de l’accident survenu le 20 janvier 2021 impliquant un véhicule 4x4 Mitsubishi sur le pont d'Anamakia Antsiranana, deux (02) personnes ont été emportées par le courant d’eau et ont disparu. Après 48h de recherche effectuée par la 2ème RFI d’Antsiranana, a bord de leur zodiac, le corps de l’un d’eux a été retrouvé dans la mer, à proximité du port de la Compagnie Salinière de Madagascar, dans la commune rurale d'Antsahampano, district d'Antsiranana-ll. ",,2021-01-23
24/01/2021,24/01/2021,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
25/01/2021,25/01/2021,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
26/01/2021,26/01/2021,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
27/01/2021,27/01/2021,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
28/01/2021,28/01/2021,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
29/01/2021,29/01/2021,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
30/01/2021,30/01/2021,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
31/01/2021,31/01/2021,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
01/02/2021,01/02/2021,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
02/02/2021,02/02/2021,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
03/02/2021,03/02/2021,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
04/02/2021,04/02/2021,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
05/02/2021,,Incidents Maritimes,05 Février 2021:Mort d'un matelot:Accident de travail,TAOLAGNARO,,Vieux Port,,,46.995986,-25.027264,,,,"Le 05 février 2021 vers 7H30mn heures locales, lors de la récupération d’un bout (cordon) tombé à la mer, un matelot de 34 ans, membre d’équipage du navire MPC GRACE, à quai au vieux port de Taolagnaro, s’est trouvé coincé entre 2 navires. Ces 2 navires, en provenance de Toamasina, MPC GRACE, chargé de ciments et LE SAINT chargé de sacs de riz, se sont rapprochés brusquement en raison des vagues. Le matelot a perdu la vie sur le coup, et la Gendarmerie a été saisie de l’affaire.",,2021-02-05
06/02/2021,06/02/2021,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
07/02/2021,,Incidents Maritimes,07 Février 2021:Noyade mortelle,SOANIERANA IVONGO,,Bureau BTP,,,49.584775,-16.921633,,,,"Le 07 février 2021 vers 15H sur la plage Andatsadrano à Soanierana Ivongo, un homme de 30 ans, qui s’est baigné près du bureau des Travaux Publics de Soanierana Ivongo, a été emporté par la vague et a disparu. Après de longues recherches, le corps sans vie de la victime a été retrouvé près de l’endroit où il s’est noyé le 08 février 2021 vers 06h30mn. Après le constat effectué par la Police Nationale, la Gendarmerie Nationale et le médecin local, le corps de la victime a été remis à sa famille.",,2021-02-07
08/02/2021,08/02/2021,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
09/02/2021,09/02/2021,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
10/02/2021,10/02/2021,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
11/02/2021,11/02/2021,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
12/02/2021,12/02/2021,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
13/02/2021,13/02/2021,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
14/02/2021,14/02/2021,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
15/02/2021,15/02/2021,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
16/02/2021,16/02/2021,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
17/02/2021,17/02/2021,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
18/02/2021,,Incidents Maritimes,16 Février 2021:Naufrage Tefotefo,MORONDAVA,,,,,44.269168,-20.293154,,,,"Le 16 février 2021, une embarcation à moteur en bois communément appelée ‘’Tefotefo’’, avec une douzaine de passagers à bord, en provenance de Borogeny, commune rurale Mahasoarivo, district de Maintirano, a fait naufrage sur la côte de Nosikely, commune urbaine et préfecture de Morondava. Les témoins de l’accident ont affirmé qu’au départ de Borogeny le même jour, le temps paraissait beau, mais c’est à l’approche de Morondava que les vagues devenaient violentes et ont provoqué l’accident, sans compter les dizaines de tonnes de marchandises qui ont surchargées l’embarcation. Un avis de vigilance fortes houles et des vents forts a été lancé par le Service de la Météorologie dans cette zone depuis le 15 février 2021. Les passagers ont tout perdu leur marchandise et les bagages. Trois (03) d’entre eux sont mis en observation auprès du CHRR Namahora à Morondava. ",,2021-02-18
19/02/2021,19/02/2021,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
20/02/2021,20/02/2021,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
21/02/2021,21/02/2021,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
22/02/2021,22/02/2021,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
23/02/2021,23/02/2021,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
24/02/2021,24/02/2021,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
25/02/2021,25/02/2021,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
26/02/2021,26/02/2021,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
27/02/2021,27/02/2021,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
